------ 3409143790 ------

EvolvedRecipeName_SapphCooking.Apple = "苹果",
EvolvedRecipeName_SapphCooking.ArborioRiceBowl = "意大利米",
EvolvedRecipeName_SapphCooking.BottlewithMilk = "牛奶",
EvolvedRecipeName_SapphCooking.BowlofChickenStroganoff = "俄式酸奶鸡肉",
EvolvedRecipeName_SapphCooking.BowlofFriedRice = "炒饭",
EvolvedRecipeName_SapphCooking.BowlofJapaneseCurry = "日式咖喱鸡",
EvolvedRecipeName_SapphCooking.BowlofKungPaoChicken = "宫保鸡丁",
EvolvedRecipeName_SapphCooking.BowlofShuiZhuYu = "水煮鱼",
EvolvedRecipeName_SapphCooking.BowlofYakisoba = "日式炒面",
EvolvedRecipeName_SapphCooking.BrownRiceBowl = "糙米",
EvolvedRecipeName_SapphCooking.CachacaFull = "巴西朗姆酒",
EvolvedRecipeName_SapphCooking.CoffeePacket = "咖啡",
EvolvedRecipeName_SapphCooking.ColaBottlewithMilk = "牛奶",
EvolvedRecipeName_SapphCooking.ColaBottlewithProteinShake = "奶昔",
EvolvedRecipeName_SapphCooking.CurryPowder = "咖喱",
EvolvedRecipeName_SapphCooking.DicedBellPepper = "甜椒",
EvolvedRecipeName_SapphCooking.DicedBroccoli = "西兰花",
EvolvedRecipeName_SapphCooking.DicedCarrots = "胡萝卜",
EvolvedRecipeName_SapphCooking.DicedTomato = "番茄",
EvolvedRecipeName_SapphCooking.EnergyDrink = "能量饮料",
EvolvedRecipeName_SapphCooking.GinFull = "杜松子酒",
EvolvedRecipeName_SapphCooking.GranulatedSugar = "甜",
EvolvedRecipeName_SapphCooking.Grape = "葡萄",
EvolvedRecipeName_SapphCooking.HotsaucePacket = "辣",
EvolvedRecipeName_SapphCooking.IceCubes = "冰",
EvolvedRecipeName_SapphCooking.Lemon = "柠檬",
EvolvedRecipeName_SapphCooking.LiqueurBottle = "利口酒",
EvolvedRecipeName_SapphCooking.MeltedChocolate = "融化的巧克力",
EvolvedRecipeName_SapphCooking.PeeledPotato = "土豆",
EvolvedRecipeName_SapphCooking.Pineapple = "菠萝",
EvolvedRecipeName_SapphCooking.PopbottlewithMilk = "牛奶",
EvolvedRecipeName_SapphCooking.Rice = "大米",
EvolvedRecipeName_SapphCooking.RumFull = "朗姆酒",
EvolvedRecipeName_SapphCooking.SakeFull = "清酒",
EvolvedRecipeName_SapphCooking.SaltPacket = "咸",
EvolvedRecipeName_SapphCooking.SlicedBellPepper = "甜椒",
EvolvedRecipeName_SapphCooking.SlicedBroccoli = "西兰花",
EvolvedRecipeName_SapphCooking.SlicedCarrots = "胡萝卜",
EvolvedRecipeName_SapphCooking.SlicedChicken = "鸡肉",
EvolvedRecipeName_SapphCooking.SlicedSteak = "牛排",
EvolvedRecipeName_SapphCooking.SlicedTomato = "番茄",
EvolvedRecipeName_SapphCooking.Strawberry = "草莓",
EvolvedRecipeName_SapphCooking.StrawberryMilk = "草莓牛奶",
EvolvedRecipeName_SapphCooking.SugarPacket = "甜",
EvolvedRecipeName_SapphCooking.TequilaFull = "龙舌兰酒",
EvolvedRecipeName_SapphCooking.VodkaFull = "伏特加酒",
EvolvedRecipeName_SapphCooking.Watermelon = "西瓜",
