------ 2792348686 ------

Fluid_Container_PIAlcopopBottle = "啤酒瓶",
Fluid_Container_PIBottledTeaExtraSweet = "瓶装",
Fluid_Container_PIBottledTeaGreenTea = "瓶装",
Fluid_Container_PIBottledTeaLemon = "瓶装",
Fluid_Container_PIBottledTeaPeach = "瓶装",
Fluid_Container_PIBottledTeaRaspberry = "瓶装",
Fluid_Container_PIBottledTeaSweet = "瓶装",
Fluid_Container_PIBottledUnsweetTea = "瓶装",
Fluid_Container_PIBrawndoCan = "汽水罐",
Fluid_Container_PIBunnBottle = "玻璃瓶",
Fluid_Container_PIChocMilkJug = "壶",
Fluid_Container_PIDiamondColaCan = "汽水罐",
Fluid_Container_PIDrDoctorCan = "汽水罐",
Fluid_Container_PIFireball = "小杯",
Fluid_Container_PIFizzyFazGrapeCan = "汽水罐",
Fluid_Container_PIFizzyFazOrangeCan = "汽水罐",
Fluid_Container_PIFizzyFazPinkLemonadeCan = "汽水罐",
Fluid_Container_PIFizzyFazSourLimeCan = "汽水罐",
Fluid_Container_PIFruitBarrel = "桶装",
Fluid_Container_PIMaplesSyrup = "玻璃瓶",
Fluid_Container_PIPunchCan = "汽水罐",
Fluid_Container_PIRootBeerCan1 = "汽水罐",
Fluid_Container_PIRootBeerCan2 = "汽水罐",
Fluid_Container_PIRootBeerCan3 = "汽水罐",
Fluid_Container_PIRyeWhiskeyBottle = "玻璃瓶",
Fluid_Container_PISbeveGin = "玻璃瓶",
Fluid_Container_PISchoolMilkChocolate = "小纸盒",
Fluid_Container_PISchoolMilkRegular = "小纸盒",
Fluid_Container_PISchoolMilkStrawberry = "小纸盒",
Fluid_Container_PISparklingCan = "汽水罐",
Fluid_Container_PISportsDrinkBlueBottle = "瓶",
Fluid_Container_PISportsDrinkFruitBottle = "瓶",
Fluid_Container_PISportsDrinkGrapeBottle = "瓶",
Fluid_Container_PISportsDrinkLemonadeBottle = "瓶",
Fluid_Container_PISportsDrinkLimeBottle = "瓶",
Fluid_Container_PISportsDrinkOrangeBottle = "瓶",
Fluid_Container_PIStallionMilk = "马口铁罐",
Fluid_Container_PISweetTeaJug = "壶",
Fluid_Container_PIVeggieDrankCan = "汽水罐",
Fluid_Container_PIWildPegasusBottle = "玻璃瓶",
Fluid_Container_PIWingSauceBBQWater = "瓶装",
Fluid_Container_PIWingSauceBuffaloWater = "瓶装",
Fluid_Container_PIWingSauceGarlicParmWater = "瓶装",
Fluid_Container_PIWingSauceHoneyBBQWater = "瓶装",
Fluid_Container_PIWingSauceHoneyMustardWater = "瓶装",
Fluid_Container_PIWingSauceSRCWater = "瓶装",
Fluid_Container_PIWingSauceTeriyakiWater = "瓶装",
Fluid_Container_VodkaAusBottle = "玻璃瓶",
Fluid_Name_PIAlcopop = "朗姆阿姆斯特朗",
Fluid_Name_PIBlueRaspberry = "蓝莓汁",
Fluid_Name_PIBrawndo = "布朗多",
Fluid_Name_PIBunnBourbon = "邦恩波本",
Fluid_Name_PICinnamonWhiskey = "肉桂威士忌",
Fluid_Name_PICraftRootBeer = "精酿根汁啤酒",
Fluid_Name_PIDiamondCola = "钻石可乐",
Fluid_Name_PIDrDoctor = "博士医生",
Fluid_Name_PIExtraSweetTea = "特甜茶",
Fluid_Name_PIFizzyFazGrape = "葡萄菲兹汽水",
Fluid_Name_PIFizzyFazOrange = "橙味菲兹汽水",
Fluid_Name_PIFizzyFazPinkLemonade = "粉红柠檬菲兹汽水",
Fluid_Name_PIFizzyFazSourLime = "酸柠菲兹汽水",
Fluid_Name_PIGin = "史蒂夫高级金酒",
Fluid_Name_PIGreenTea = "绿茶",
Fluid_Name_PIKiwiStrawberry = "猕猴桃草莓汁",
Fluid_Name_PILemonTea = "柠檬茶",
Fluid_Name_PIPeachTea = "蜜桃茶",
Fluid_Name_PIRaspberryTea = "树莓茶",
Fluid_Name_PIRootBeer = "根汁啤酒",
Fluid_Name_PIRyeWhiskey = "黑麦威士忌",
Fluid_Name_PISportsDrinkBlue = "酷蓝运动饮料",
Fluid_Name_PISportsDrinkFruit = "水果潘趣运动饮料",
Fluid_Name_PISportsDrinkGrape = "葡萄运动饮料",
Fluid_Name_PISportsDrinkLemonade = "草莓柠檬运动饮料",
Fluid_Name_PISportsDrinkLime = "青柠运动饮料",
Fluid_Name_PISportsDrinkOrange = "橙味运动饮料",
Fluid_Name_PIStallionMilk = "种马奶",
Fluid_Name_PIStrawberryMilk = "草莓牛奶",
Fluid_Name_PISweetTea = "甜茶",
Fluid_Name_PIUnsweetTea = "无糖茶",
Fluid_Name_PIVeggieDrank = "蔬菜汁",
Fluid_Name_PIVodka = "圣伏特加",
Fluid_Name_PIWWPunch = "能量潘趣",
Fluid_Name_PIWildPegasus = "野生飞马",
