------ 3439247001 ------

GDMPoncho.MPoncho3CDDOWN = "军用斗篷 (三色沙漠迷彩)",
GDMPoncho.MPoncho3CDUP = "军用斗篷 (三色沙漠迷彩)",
GDMPoncho.MPoncho6CDDOWN = "军用斗篷 (六色沙漠迷彩)",
GDMPoncho.MPoncho6CDUP = "军用斗篷 (六色沙漠迷彩)",
GDMPoncho.MPonchoBlackDOWN = "军用斗篷 (黑)",
GDMPoncho.MPonchoBlackUP = "军用斗篷 (黑)",
GDMPoncho.MPonchoBlueDOWN = "军用斗篷 (蓝)",
GDMPoncho.MPonchoBlueUP = "军用斗篷 (蓝)",
GDMPoncho.MPonchoBrownDOWN = "军用斗篷 (棕)",
GDMPoncho.MPonchoBrownUP = "军用斗篷 (棕)",
GDMPoncho.MPonchoCoyoteDOWN = "军用斗篷 (土狼色)",
GDMPoncho.MPonchoCoyoteUP = "军用斗篷 (土狼色)",
GDMPoncho.MPonchoFlecktarnDOWN = "军用斗篷 (斑点迷彩)",
GDMPoncho.MPonchoFlecktarnUP = "军用斗篷 (斑点迷彩)",
GDMPoncho.MPonchoGreenDOWN = "军用斗篷 (绿)",
GDMPoncho.MPonchoGreenUP = "军用斗篷 (绿)",
GDMPoncho.MPonchoPinkDOWN = "军用斗篷 (粉)",
GDMPoncho.MPonchoPinkUP = "军用斗篷 (粉)",
GDMPoncho.MPonchoPurpleDOWN = "军用斗篷 (紫)",
GDMPoncho.MPonchoPurpleUP = "军用斗篷 (紫)",
GDMPoncho.MPonchoRedDOWN = "军用斗篷 (红)",
GDMPoncho.MPonchoRedUP = "军用斗篷 (红)",
GDMPoncho.MPonchoShoulder = "军用斗篷 (绿)",
GDMPoncho.MPonchoShoulder3CD = "军用斗篷 (三色沙漠迷彩)",
GDMPoncho.MPonchoShoulder3CDdown = "军用斗篷 (三色沙漠迷彩)",
GDMPoncho.MPonchoShoulder6CD = "军用斗篷 (六色沙漠迷彩)",
GDMPoncho.MPonchoShoulder6CDdown = "军用斗篷 (六色沙漠迷彩)",
GDMPoncho.MPonchoShoulderBLA = "军用斗篷 (黑)",
GDMPoncho.MPonchoShoulderBLAdown = "军用斗篷 (黑)",
GDMPoncho.MPonchoShoulderBRN = "军用斗篷 (棕)",
GDMPoncho.MPonchoShoulderBRNdown = "军用斗篷 (棕)",
GDMPoncho.MPonchoShoulderBlue = "军用斗篷 (蓝)",
GDMPoncho.MPonchoShoulderBluedown = "军用斗篷 (蓝)",
GDMPoncho.MPonchoShoulderCoyote = "军用斗篷 (土狼色)",
GDMPoncho.MPonchoShoulderCoyotedown = "军用斗篷 (土狼色)",
GDMPoncho.MPonchoShoulderDOWN = "军用斗篷 (绿)",
GDMPoncho.MPonchoShoulderFlecktarn = "军用斗篷 (斑点迷彩)",
GDMPoncho.MPonchoShoulderFlecktarndown = "军用斗篷 (斑点迷彩)",
GDMPoncho.MPonchoShoulderPink = "军用斗篷 (粉)",
GDMPoncho.MPonchoShoulderPinkdown = "军用斗篷 (粉)",
GDMPoncho.MPonchoShoulderPurple = "军用斗篷 (紫)",
GDMPoncho.MPonchoShoulderPurpledown = "军用斗篷 (紫)",
GDMPoncho.MPonchoShoulderRed = "军用斗篷 (红)",
GDMPoncho.MPonchoShoulderReddown = "军用斗篷 (红)",
GDMPoncho.MPonchoShoulderTigerstripe = "军用斗篷 (虎纹迷彩)",
GDMPoncho.MPonchoShoulderTigerstripedown = "军用斗篷 (虎纹迷彩)",
GDMPoncho.MPonchoShoulderWhite = "军用斗篷 (白)",
GDMPoncho.MPonchoShoulderWhitedown = "军用斗篷 (白)",
GDMPoncho.MPonchoShoulderWoodland = "军用斗篷 (M81丛林迷彩)",
GDMPoncho.MPonchoShoulderWoodlanddown = "军用斗篷 (M81丛林迷彩)",
GDMPoncho.MPonchoShoulderYEL = "军用斗篷 (黄)",
GDMPoncho.MPonchoShoulderYELdown = "军用斗篷 (黄)",
GDMPoncho.MPonchoTigerstripeDOWN = "军用斗篷 (虎纹迷彩)",
GDMPoncho.MPonchoTigerstripeUP = "军用斗篷 (虎纹迷彩)",
GDMPoncho.MPonchoWhiteDOWN = "军用斗篷 (白)",
GDMPoncho.MPonchoWhiteUP = "军用斗篷 (白)",
GDMPoncho.MPonchoWoodlandDOWN = "军用斗篷 (M81丛林迷彩)",
GDMPoncho.MPonchoWoodlandUP = "军用斗篷 (M81丛林迷彩)",
GDMPoncho.MPonchoYellowDOWN = "军用斗篷 (黄)",
GDMPoncho.MPonchoYellowUP = "军用斗篷 (黄)",
