------ 2959472220 ------

IGUI_VehicleNameTrailer_fr_camper_scamp = "哥布林",
IGUI_VehicleNameTrailer_fr_ch_3100_51 = "切割卡车车厢",
IGUI_VehicleNameTrailer_fr_fuel_medium = "燃料拖车",
IGUI_VehicleNameTrailer_fr_fuel_small = "燃料拖车",
IGUI_VehicleNameTrailer_fr_moving_large = "搬家拖车",
IGUI_VehicleNameTrailer_fr_moving_medium = "搬家拖车",
IGUI_VehicleNamefr_ag_hmmwv_92_2d_mil = "M998A1",
IGUI_VehicleNamefr_ag_hmmwv_92_4d_mil = "M1097",
IGUI_VehicleNamefr_ag_m151_85_mil = "M151A2",
IGUI_VehicleNamefr_ag_m35_88_mil = "M35A2",
IGUI_VehicleNamefr_ag_m49_88_mil = "M49",
IGUI_VehicleNamefr_am_gremlin_73 = "UAC 小精灵",
IGUI_VehicleNamefr_bu_wildcat_68 = "乌塔娜山猫",
IGUI_VehicleNamefr_bu_wildcat_68_convert = "乌塔娜山猫",
IGUI_VehicleNamefr_ca_deville_79 = "劳梅特·霍格",
IGUI_VehicleNamefr_ca_deville_79_coupe = "劳梅特·霍格 JD",
IGUI_VehicleNamefr_ch_3100_51 = "骑士 拉格诺拉",
IGUI_VehicleNamefr_ch_3100_51_offroad = "骑士 拉格诺拉",
IGUI_VehicleNamefr_ch_3100_51_old = "骑士 拉格诺拉",
IGUI_VehicleNamefr_ch_astro_92 = "骑士 宇宙",
IGUI_VehicleNamefr_ch_belair_55 = "骑士 贝霍尔德",
IGUI_VehicleNamefr_ch_belair_55_taxi = "骑士 贝霍尔德",
IGUI_VehicleNamefr_ch_blazer_87 = "骑士 科博德",
IGUI_VehicleNamefr_ch_blazer_87_mil = "骑士 科博德",
IGUI_VehicleNamefr_ch_blazer_87_offroad = "骑士 科博德",
IGUI_VehicleNamefr_ch_blazer_87_police = "骑士 科博德",
IGUI_VehicleNamefr_ch_c10_71_lb = "骑士 D20",
IGUI_VehicleNamefr_ch_c10_71_lb_ranger = "骑士 D20",
IGUI_VehicleNamefr_ch_c10_71_offroadlb = "骑士 D20",
IGUI_VehicleNamefr_ch_c10_71_offroadsb = "骑士 D20",
IGUI_VehicleNamefr_ch_c10_71_sb = "骑士 D20",
IGUI_VehicleNamefr_ch_c10_87_lb = "骑士 D20",
IGUI_VehicleNamefr_ch_c10_87_lb_mil = "骑士 D20",
IGUI_VehicleNamefr_ch_c10_87_offroadlb = "骑士 D20",
IGUI_VehicleNamefr_ch_c10_87_offroadsb = "骑士 D20",
IGUI_VehicleNamefr_ch_c10_87_sb = "骑士 D20",
IGUI_VehicleNamefr_ch_c10_87_utility = "骑士 D20",
IGUI_VehicleNamefr_ch_c10_87_utility_fire = "骑士 D20",
IGUI_VehicleNamefr_ch_c10_87_utility_mccoy = "骑士 D20",
IGUI_VehicleNamefr_ch_caprice_87 = "骑士 泰坦",
IGUI_VehicleNamefr_ch_caprice_87_police = "骑士 泰坦",
IGUI_VehicleNamefr_ch_caprice_87_taxi = "骑士 泰坦",
IGUI_VehicleNamefr_ch_caprice_87_wag = "骑士 泰坦",
IGUI_VehicleNamefr_ch_chevelle_70 = "骑士 布列特",
IGUI_VehicleNamefr_ch_chevelle_70_convert = "骑士 布列特",
IGUI_VehicleNamefr_ch_elcamino_70 = "骑士 埃尔奇美拉",
IGUI_VehicleNamefr_ch_impala_71 = "骑士 温迪戈",
IGUI_VehicleNamefr_ch_montecarlo_83 = "骑士 圣奥班",
IGUI_VehicleNamefr_ch_montecarlo_83_ttop = "骑士 圣奥班",
IGUI_VehicleNamefr_ch_s10_91_ext_lb = "骑士 D6",
IGUI_VehicleNamefr_ch_s10_91_ext_lb_ranger = "骑士 D6",
IGUI_VehicleNamefr_ch_s10_91_ext_offroadlb = "骑士 D6",
IGUI_VehicleNamefr_ch_s10_91_ext_offroadsb = "骑士 D6",
IGUI_VehicleNamefr_ch_s10_91_ext_sb = "骑士 D6",
IGUI_VehicleNamefr_ch_s10_91_lb = "骑士 D6",
IGUI_VehicleNamefr_ch_s10_91_lb_ranger = "骑士 D6",
IGUI_VehicleNamefr_ch_s10_91_offroadlb = "骑士 D6",
IGUI_VehicleNamefr_ch_s10_91_offroadsb = "骑士 D6",
IGUI_VehicleNamefr_ch_s10_91_sb = "骑士 D6",
IGUI_VehicleNamefr_ch_stepvan_80 = "骑士 运输者",
IGUI_VehicleNamefr_ch_stepvan_80_police = "骑士 运输者",
IGUI_VehicleNamefr_ch_suburban_87 = "骑士 卡尼弗克斯",
IGUI_VehicleNamefr_ch_suburban_87_offroad = "骑士 卡尼弗克斯",
IGUI_VehicleNamefr_da_240z_73 = "洛桑 140x",
IGUI_VehicleNamefr_do_charger_69 = "冲刺 闪电",
IGUI_VehicleNamefr_do_charger_69_daytona = "冲刺 闪电",
IGUI_VehicleNamefr_do_charger_69_general = "将军",
IGUI_VehicleNamefr_do_ram_90_lb = "冲刺 巴克",
IGUI_VehicleNamefr_do_ram_90_moving = "冲刺 巴克",
IGUI_VehicleNamefr_do_ram_90_offroadlb = "冲刺 巴克",
IGUI_VehicleNamefr_do_ram_90_offroadsb = "冲刺 巴克",
IGUI_VehicleNamefr_do_ram_90_sb = "冲刺 巴克",
IGUI_VehicleNamefr_fl_bounder_86 = "查德威克 麦克",
IGUI_VehicleNamefr_fo_7810_89 = "富兰克林 穆尔",
IGUI_VehicleNamefr_fo_b700_prisonlong = "富兰克林 BE70",
IGUI_VehicleNamefr_fo_b700_schoollong = "富兰克林 BE70",
IGUI_VehicleNamefr_fo_b700_schoolshort = "富兰克林 BE70",
IGUI_VehicleNamefr_fo_bronco_80 = "富兰克林 公牛",
IGUI_VehicleNamefr_fo_bronco_80_offroad = "富兰克林 公牛",
IGUI_VehicleNamefr_fo_crownvic_85 = "富兰克林 克雷斯特 安达尔塔 FTP",
IGUI_VehicleNamefr_fo_crownvic_85_coupe = "富兰克林 克雷斯特 安达尔塔 FTP",
IGUI_VehicleNamefr_fo_crownvic_85_police = "富兰克林 克雷斯特 安达尔塔 FTP",
IGUI_VehicleNamefr_fo_crownvic_85_taxi = "富兰克林 克雷斯特 安达尔塔 FTP",
IGUI_VehicleNamefr_fo_crownvic_85_wag = "富兰克林 克雷斯特 安达尔塔 FTP",
IGUI_VehicleNamefr_fo_crownvic_85_wagtaxi = "富兰克林 克雷斯特 安达尔塔 FTP",
IGUI_VehicleNamefr_fo_crownvic_92 = "富兰克林 克雷斯特 安达尔塔",
IGUI_VehicleNamefr_fo_crownvic_92_police = "富兰克林 克雷斯特 安达尔塔",
IGUI_VehicleNamefr_fo_econoline_86 = "富兰克林 负担者",
IGUI_VehicleNamefr_fo_econoline_86_ambulance = "富兰克林 负担者 救护车",
IGUI_VehicleNamefr_fo_econoline_86_florist = "富兰克林 负担者",
IGUI_VehicleNamefr_fo_econoline_rv_86 = "富兰克林 旅行者",
IGUI_VehicleNamefr_fo_explorer_93 = "富兰克林 克拉克",
IGUI_VehicleNamefr_fo_explorer_93_jurassic = "富兰克林 克拉克",
IGUI_VehicleNamefr_fo_f350_80 = "富兰克林 EF25",
IGUI_VehicleNamefr_fo_f350_80_offroad = "富兰克林 EF25",
IGUI_VehicleNamefr_fo_f350_80_offroadquad = "富兰克林 EF25",
IGUI_VehicleNamefr_fo_f350_80_quad = "富兰克林 EF25",
IGUI_VehicleNamefr_fo_f350_ambulance_80 = "富兰克林 EF35",
IGUI_VehicleNamefr_fo_f700_90_boxlarge = "富兰克林 EF70",
IGUI_VehicleNamefr_fo_f700_90_boxmed = "富兰克林 EF70",
IGUI_VehicleNamefr_fo_f700_90_dump = "富兰克林 EF70",
IGUI_VehicleNamefr_fo_f700_90_flatmed = "富兰克林 EF70",
IGUI_VehicleNamefr_fo_f700_90_flatsmall = "富兰克林 EF70",
