------ 3405131820 ------

Fluid_Name_Apple_Fizz = "苹果菲士",
Fluid_Name_Apple_Mead = "苹果蜜酒",
Fluid_Name_Bellini = "贝利尼酒",
Fluid_Name_Berry_Chocolate_Shake = "莓果巧克力奶昔",
Fluid_Name_Black_Russian = "黑俄罗斯",
Fluid_Name_Blue_Lagoon = "马耳他蓝湖",
Fluid_Name_Blueberry_Lime_Fizz = "蓝莓酸橙菲士",
Fluid_Name_Bubblegum_Bliss = "泡泡糖极乐",
Fluid_Name_Bubbly_Surprise = "惊喜香槟",
Fluid_Name_Buzzing_Berry = "兴奋莓果",
Fluid_Name_Chocolate_Orange_Bliss = "巧克力橙子极乐",
Fluid_Name_Chocolate_Sweetheart = "巧克力甜心",
Fluid_Name_Citrus_Berry_Mix = "柑橘浆果",
Fluid_Name_Cosmopolitan = "大都会"",
Fluid_Name_Cranberry_Spark = "蔓越莓火花",
Fluid_Name_Espresso_Martini = "咖啡马提尼",
Fluid_Name_French_75 = "法兰西75"",
Fluid_Name_Gatorade_Cool_Blue = "佳得乐(冰蓝)",
Fluid_Name_Gatorade_Fruit_Punch = "佳得乐(水果宾治)",
Fluid_Name_Gatorade_Lemon-Lime = "佳得乐(柠檬酸橙)",
Fluid_Name_Gatorade_Orange = "佳得乐(柑橘)",
Fluid_Name_Gatorwine = "佳得乐干红",
Fluid_Name_Gin_Fizz = "金菲士",
Fluid_Name_Ginger_Punch = "姜汁宾治",
Fluid_Name_Ginger_Smash = "姜汁粉碎",
Fluid_Name_Golden_Ale = "金色艾尔",
Fluid_Name_Honey_Citrus_Spritz = "蜂蜜柑橘斯普瑞兹",
Fluid_Name_Iced_Mocha_Mocktail = "冰摩卡无酒精鸡尾酒",
Fluid_Name_Jungle_Juice = "丛林果汁",
Fluid_Name_Lemon_Tea_Cooler = "冰凉柠檬茶",
Fluid_Name_Mai_Tai = "迈泰",
Fluid_Name_Mimosa = "含羞草",
Fluid_Name_Mocha_Fusion = "融合摩卡",
Fluid_Name_Mojito = "莫吉托",
Fluid_Name_Old_Fashioned = "古典",
Fluid_Name_Orchard_Delight = "果园乐事",
Fluid_Name_Pilk = "脏可乐",
Fluid_Name_Pina_Colada = "椰林飘香",
Fluid_Name_Port_Sangria = "波特桑格利亚",
Fluid_Name_Purple_Citrus_Pop = "紫色柑橘气泡",
Fluid_Name_Root_Beer = "根汁汽水",
Fluid_Name_Rum_Runner = "朗姆使者",
Fluid_Name_Spiced_Tea_Spritzer = "茶香斯普利兹",
Fluid_Name_Strawberry_Daiquiri = "草莓代基里",
Fluid_Name_Strawberry_Lemonade_Sparkler = "草莓柠檬汽水",
Fluid_Name_Sunrise_Spritz = "日出斯普利兹",
Fluid_Name_Tequila_Sunrise = "龙舌兰日出",
Fluid_Name_Tropical_Bliss = "热带极乐",
Fluid_Name_Tropical_Cooler = "冰凉热带",
Fluid_Name_Virgin_Bloody_Mary = "无酒精血腥玛丽",
Fluid_Name_Virgin_Cosmo = "无酒精大都会",
Fluid_Name_Whiskey_Sour = "威士忌酸",
Fluid_Name_White_Russian = "白俄罗斯",
