------ 3388183573 ------

Moodles_ClothingHole_Bad_lvl2 = "你感觉寒风吹过你破烂的衣服.",
Moodles_ClothingHole_Custom = "是时候修复衣服上的 %1 个洞了.",
Moodles_ClothingHole_Good_lvl2 = "你的旧衣服上不再有破洞.",

------ 3435936144 ------

Moodles_Barefoot_Bad_desc_lvl4 = "你没有穿鞋！",
Moodles_Barefoot_Bad_lvl4 = "赤脚",
Moodles_TornShoe_Bad_desc_lvl1 = "你的鞋子看起来有些磨损了。",
Moodles_TornShoe_Bad_desc_lvl2 = "鞋带断裂，短得烦人。",
Moodles_TornShoe_Bad_desc_lvl3 = "鞋底开始脱落。",
Moodles_TornShoe_Bad_desc_lvl4 = "你的鞋子快要散架了！",
Moodles_TornShoe_Bad_lvl1 = "破损的鞋子",
Moodles_TornShoe_Bad_lvl2 = "破损的鞋子",
Moodles_TornShoe_Bad_lvl3 = "破损的鞋子",
Moodles_TornShoe_Bad_lvl4 = "破损的鞋子",

------ 3027121498 ------

Moodles_Bloodlust_Bad_desc_lvl1 = "需要采取行动",
Moodles_Bloodlust_Bad_desc_lvl3 = "立即杀戮",
Moodles_Bloodlust_Bad_lvl1 = "嗜血冲动",
Moodles_Bloodlust_Bad_lvl3 = "嗜血",

------ 2459400130 ------

Moodles_dtemallergy_Bad_desc_lvl1 = "偶尔打喷嚏和咳嗽。",
Moodles_dtemallergy_Bad_desc_lvl2 = "频繁地打喷嚏和咳嗽，身体多处发痒。抓挠会感到疼痛。",
Moodles_dtemallergy_Bad_desc_lvl3 = "几乎全身都在发痒。疼痛感大幅增加。",
Moodles_dtemallergy_Bad_desc_lvl4 = "过敏反应已遍布全身。你感到窒息，体力、精力与生命值都在下降。",
Moodles_dtemallergy_Bad_lvl1 = "过敏",
Moodles_dtemallergy_Bad_lvl2 = "过敏",
Moodles_dtemallergy_Bad_lvl3 = "过敏",
Moodles_dtemallergy_Bad_lvl4 = "过敏",
Moodles_dtembloodlust_Bad_desc_lvl1 = "你开始寻思下一个受害者了。",
Moodles_dtembloodlust_Bad_desc_lvl2 = "有段时间没杀戮了，你的心情受到了影响。",
Moodles_dtembloodlust_Bad_desc_lvl3 = "太久没有杀戮了，你的心情变得更糟了。",
Moodles_dtembloodlust_Bad_desc_lvl4 = "有可能会产生永久性的情绪问题。",
Moodles_dtembloodlust_Bad_lvl1 = "嗜血",
Moodles_dtembloodlust_Bad_lvl2 = "嗜血",
Moodles_dtembloodlust_Bad_lvl3 = "嗜血",
Moodles_dtembloodlust_Bad_lvl4 = "嗜血",
Moodles_dtemcaffeine_Bad_desc_lvl1 = "体内缺乏咖啡因。你的心情很差。",
Moodles_dtemcaffeine_Bad_lvl1 = "咖啡因成瘾",
Moodles_dtemcaffeine_Good_desc_lvl1 = "体内含有咖啡因。你的心情很好。",
Moodles_dtemcaffeine_Good_lvl1 = "咖啡因成瘾",
Moodles_dtemoverdose_Bad_desc_lvl2 = "轻微的焦躁和出汗。",
Moodles_dtemoverdose_Bad_desc_lvl3 = "你感到有些昏昏欲睡。",
Moodles_dtemoverdose_Bad_desc_lvl4 = "严重中毒，有生命危险。",
Moodles_dtemoverdose_Bad_lvl2 = "药物过量",
Moodles_dtemoverdose_Bad_lvl3 = "药物过量",
Moodles_dtemoverdose_Bad_lvl4 = "药物过量",

------ 2914075159 ------

Moodles_BloodlustMoodle_Bad_lvl1 = "这几乎没啥乐趣",
Moodles_BloodlustMoodle_Bad_lvl2 = "这活儿挺无聊,但总得有人干",
Moodles_BloodlustMoodle_Bad_lvl3 = "杀几个僵尸还不算最糟糕的事",
Moodles_BloodlustMoodle_Bad_lvl4 = "我真不想再杀僵尸了",
Moodles_BloodlustMoodle_Custom = "我的杀戮欲已经达到了 %1%.<br>保持在 50% 以上最终会让我获得嗜血特质,<br>低于 50% 则会让我逐渐失去这个特质<br> (这是一个指标,显示你是在获得还是失去嗜血特质)",
Moodles_BloodlustMoodle_Good_lvl1 = "这稍微有点乐趣",
Moodles_BloodlustMoodle_Good_lvl2 = "消磨时间这方法还不赖",
Moodles_BloodlustMoodle_Good_lvl3 = "这绝对是一段时光的美好利用",
Moodles_BloodlustMoodle_Good_lvl4 = "天啊,我太爱消灭这些不死生物了",
Moodles_SleepHealthMoodle_Bad_lvl1 = "稍微偏离了我的作息",
Moodles_SleepHealthMoodle_Bad_lvl2 = "不是个理想的睡觉时间",
Moodles_SleepHealthMoodle_Bad_lvl3 = "我的作息完全乱了",
Moodles_SleepHealthMoodle_Bad_lvl4 = "我的作息完全崩溃了",
Moodles_SleepHealthMoodle_Custom = "睡眠时间偏离了最佳时间 %1 小时",
Moodles_SleepHealthMoodle_Good_lvl1 = "稍高于平均水平的睡觉时间",
Moodles_SleepHealthMoodle_Good_lvl2 = "不错的睡觉时机",
Moodles_SleepHealthMoodle_Good_lvl3 = "非常适合睡觉的时候",
Moodles_SleepHealthMoodle_Good_lvl4 = "刚好在完美的时间点",

------ 3403870858 ------

Moodles_AdviceWasted_L1 = "无用的建议",
Moodles_AdviceWasted_L1_desc = "我试图分享我的想法,但他们似乎并不在意...",
Moodles_AtHouse_L1 = "舒服的宅在家里",
Moodles_AtHouse_L1_desc = "在室内待了一段时间.无忧无虑.",
Moodles_Attractive_L1 = "自我感觉良好",
Moodles_Attractive_L1_desc = "墙上的镜子,谁是最...",
Moodles_BathCold_L1 = "冰冷刺骨的水",
Moodles_BathCold_L1_desc = "太...太冷了...",
Moodles_BathHot_L1 = "热气腾腾的水",
Moodles_BathHot_L1_desc = "令人精神振奋,神清气爽.",
Moodles_BeautyGood_L1 = "舒缓余晖",
Moodles_BeautyGood_L1_desc = "最近身处美好环境让你感到些许振奋。",
Moodles_BeautyGood_L2 = "美景焕新",
Moodles_BeautyGood_L2_desc = "你已饱览美景，美好记忆仍萦绕心头。",
Moodles_BeautyGood_L3 = "审美愉悦",
Moodles_BeautyGood_L3_desc = "近期被大量美好事物环绕，带给你静谧的欢愉。",
Moodles_BeautyGood_L4 = "优雅环抱",
Moodles_BeautyGood_L4_desc = "沉浸于极致美感后的视觉高潮仍在持续。",
Moodles_BeautyNeg_L1 = "肮脏的环境",
Moodles_BeautyNeg_L1_desc = "这里没有一个干净的地方.",
Moodles_BeautyNeg_L2 = "糟糕的环境",
