ItemName_EN = {
    ItemName_LDK.AguaTonicaAntarctica                       = "Antarctica Tonic Water",
    ItemName_LDK.AguaTonicaAntarcticaEmpty                  = "Empty Antarctica Tonic Water Can",
    ItemName_LDK.AguaTonicaFys                              = "FYs Tonic Water",
    ItemName_LDK.AguaTonicaFysEmpty                         = "Empty FYs Tonic Water Can",
    ItemName_LDK.AguaTonicaFysZero                          = "FYs Tonic Water Zero",
    ItemName_LDK.AguaTonicaFysZeroEmpty                     = "Empty FYs Tonic Water Zero Can",
    ItemName_LDK.AguaCampinhoLemon                          = "Water Campinho Lemon",
    ItemName_LDK.AguaCampinhoLemonEmpty                     = "Empty Water Campinho Lemon Can",
    ItemName_LDK.Corote                                     = "Corote",
    ItemName_LDK.CoroteEmpty                                = "Empty Corote",
    ItemName_LDK.CoroteAcai                                 = "Acai and Catuaba Corote",
    ItemName_LDK.CoroteAcaiEmpty                            = "Empty Acai and Catuaba Corote",
    ItemName_LDK.CoroteBaunilha                             = "Vanilla and Lemon Corote",
    ItemName_LDK.CoroteBaunilhaEmpty                        = "Empty Vanilla and Lemon Corote",
    ItemName_LDK.CoroteBlueberry                            = "Blueberry Corote",
    ItemName_LDK.CoroteBlueberryEmpty                       = "Empty Blueberry Corote",
    ItemName_LDK.CoroteCanelinha                            = "Cinnamon Corote",
    ItemName_LDK.CoroteCanelinhaEmpty                       = "Empty Cinnamon Corote",
    ItemName_LDK.CoroteLimao                                = "Lemon Corote",
    ItemName_LDK.CoroteLimaoEmpty                           = "Empty Lemon Corote",
    ItemName_LDK.CoroteMaracuja                             = "Passionfruit Corote",
    ItemName_LDK.CoroteMaracujaEmpty                        = "Empty Passionfruit Corote",
    ItemName_LDK.CoroteMenta                                = "Mint Corote",
    ItemName_LDK.CoroteMentaEmpty                           = "Empty Mint Corote",
    ItemName_LDK.CoroteMorango                              = "Strawberry Corote",
    ItemName_LDK.CoroteMorangoEmpty                         = "Empty Strawberry Corote",
    ItemName_LDK.CorotePessego                              = "Peach Corote",
    ItemName_LDK.CorotePessegoEmpty                         = "Empty Peach Corote",
    ItemName_LDK.CoroteTuttiFrutti                          = "Tutti Frutti Corote",
    ItemName_LDK.CoroteTuttiFruttiEmpty                     = "Empty Tutti Frutti Corote",
    ItemName_LDK.RedLabel                                   = "Red Label Johnnie Walker",
    ItemName_LDK.RedLabelEmpty                              = "Empty Red Label Johnnie Walker",
    ItemName_LDK.RedLabelWaterFull                          = "Water Bottle",
    ItemName_LDK.51                                         = "51",
    ItemName_LDK.51Empty                                    = "Empty 51",
    ItemName_LDK.51WaterFull                                = "Water Bottle",
    ItemName_LDK.SweetBlue                                  = "Sweet Blue",
    ItemName_LDK.SweetBlueEmpty                             = "Empty Sweet Blue",
    ItemName_LDK.SweetBlueWaterFull                         = "Water Bottle",
    ItemName_LDK.SealedLokal                                = "Sealed Lokal",
    ItemName_LDK.Lokal                                      = "Lokal",
    ItemName_LDK.LokalEmpty                                 = "Empty Lokal Can",
    ItemName_LDK.Skol                                       = "Skol",
    ItemName_LDK.SkolEmpty                                  = "Empty Skol Can",
    ItemName_LDK.SealedItaipava                             = "Sealed Itaipava",
    ItemName_LDK.Itaipava                                   = "Itaipava",
    ItemName_LDK.ItaipavaEmpty                              = "Empty Itaipava Can",
    ItemName_LDK.Brahma                                     = "Brahma",
    ItemName_LDK.BrahmaEmpty                                = "Empty Brahma Can",
    ItemName_LDK.Antarctica                                 = "Antarctica",
    ItemName_LDK.AntarcticaEmpty                            = "Empty Antarctica Can",
    ItemName_LDK.AntarcticaSubZero                          = "Sub Zero Antarctica",
    ItemName_LDK.AntarcticaSubZeroEmpty                     = "Empty Sub Zero Antarctica Can",
    ItemName_LDK.Schin                                      = "Schin",
    ItemName_LDK.SchinEmpty                                 = "Empty Schin Can",
    ItemName_LDK.Bavaria                                    = "Bavaria",
    ItemName_LDK.BavariaEmpty                               = "Empty Bavaria Can",
    ItemName_LDK.Bohemia                                    = "Bohemia",
    ItemName_LDK.BohemiaEmpty                               = "Empty Bohemia Can",
    ItemName_LDK.Kaiser                                     = "Kaiser",
    ItemName_LDK.KaiserEmpty                                = "Empty Kaiser Can",
    ItemName_LDK.SealedCrystal                              = "Sealed Crystal",
    ItemName_LDK.Crystal                                    = "Crystal",
    ItemName_LDK.CrystalEmpty                               = "Empty Crystal Can",
    ItemName_LDK.SealedItaipava0                            = "Sealed Itaipava 0,0% Alcohol",
    ItemName_LDK.Itaipava0                                  = "Itaipava 0,0% Alcohol",
    ItemName_LDK.Itaipava0Empty                             = "Empty Itaipava 0,0% Alcohol",
    ItemName_LDK.Bavaria0                                   = "Bavaria 0,0% Alcohol",
    ItemName_LDK.Bavaria0Empty                              = "Empty Bavaria 0,0% Alcohol",
    ItemName_LDK.Brahma0                                    = "Brahma 0,0% Alcohol",
    ItemName_LDK.Brahma0Empty                               = "Empty Brahma 0,0% Alcohol",
    ItemName_LDK.SkolBottle                                 = "Skol Bottle",
    ItemName_LDK.SkolBottleEmpty                            = "Empty Skol Bottle",
    ItemName_LDK.Bottle_SkolWaterFull                       = "Water Bottle",
    ItemName_LDK.BavariaBottle                              = "Bavaria Bottle",
    ItemName_LDK.BavariaBottleEmpty                         = "Empty Bavaria Bottle",
    ItemName_LDK.Bottle_BavariaWaterFull                    = "Water Bottle",
    ItemName_LDK.BohemiaBottle                              = "Bohemia Bottle",
    ItemName_LDK.BohemiaBottleEmpty                         = "Empty Bohemia Bottle",
    ItemName_LDK.Bottle_BohemiaWaterFull                    = "Water Bottle",
    ItemName_LDK.BrahmaBottle                               = "Brahma Bottle",
    ItemName_LDK.BrahmaBottleEmpty                          = "Empty Brahma Bottle",
    ItemName_LDK.Bottle_BrahmaWaterFull                     = "Water Bottle",
    ItemName_LDK.Brahma0Bottle                              = "0,0% Alcohol Brahma Bottle",
    ItemName_LDK.Brahma0BottleEmpty                         = "Empty 0,0% Alcohol Brahma Bottle",
    ItemName_LDK.Bottle_Brahma0WaterFull                    = "Water Bottle",
    ItemName_LDK.CrystalBottle                              = "Crystal Bottle",
    ItemName_LDK.CrystalBottleEmpty                         = "Empty Crystal Bottle",
    ItemName_LDK.Bottle_CrystalWaterFull                    = "Water Bottle",
    ItemName_LDK.ItaipavaBottle                             = "Itaipava Bottle",
    ItemName_LDK.ItaipavaBottleEmpty                        = "Empty Itaipava Bottle",
    ItemName_LDK.Bottle_ItaipavaWaterFull                   = "Water Bottle",
    ItemName_LDK.Itaipava0Bottle                            = "0,0% Alcohol Itaipava Bottle",
    ItemName_LDK.Itaipava0BottleEmpty                       = "Empty 0,0% Alcohol Itaipava Bottle",
    ItemName_LDK.Bottle_Itaipava0WaterFull                  = "Water Bottle",
    ItemName_LDK.KaiserBottle                               = "Kaiser Bottle",
    ItemName_LDK.KaiserBottleEmpty                          = "Empty Kaiser Bottle",
    ItemName_LDK.Bottle_KaiserWaterFull                     = "Water Bottle",
    ItemName_LDK.LokalBottle                                = "Lokal Bottle",
    ItemName_LDK.LokalBottleEmpty                           = "Empty Lokal Bottle",
    ItemName_LDK.Bottle_LokalWaterFull                      = "Water Bottle",
    ItemName_LDK.SchinBottle                                = "Schin Bottle",
    ItemName_LDK.SchinBottleEmpty                           = "Empty Schin Bottle",
    ItemName_LDK.Bottle_SchinWaterFull                      = "Water Bottle",
    ItemName_LDK.RedbullMelancia                            = "Watermelon Red Bull",
    ItemName_LDK.RedbullMelanciaEmpty                       = "Empty Watermelon Red Bull Can",
    ItemName_LDK.BadWolf                                    = "BadWolf",
    ItemName_LDK.BadWolfEmpty                               = "Empty BadWolf Can",
    ItemName_LDK.Fusion                                     = "Fusion",
    ItemName_LDK.FusionEmpty                                = "Empty Fusion Can",
    ItemName_LDK.FusionCitrus                               = "Fusion Citrus",
    ItemName_LDK.FusionCitrusEmpty                          = "Empty Fusion Citrus Can",
    ItemName_LDK.FusionGuarana                              = "Fusion Guarana",
    ItemName_LDK.FusionGuaranaEmpty                         = "Empty Fusion Guarana Can",
    ItemName_LDK.Redbull                                    = "Red Bull",
    ItemName_LDK.RedbullEmpty                               = "Empty Red Bull Can",
    ItemName_LDK.RedbullAcai                                = "Red Bull Acai",
    ItemName_LDK.RedbullAcaiEmpty                           = "Empty Red Bull Acai Can",
    ItemName_LDK.RedbullCoco                                = "Red Bull Coconut",
    ItemName_LDK.RedbullCocoEmpty                           = "Empty Red Bull Coconut Can",
    ItemName_LDK.RedbullPitaya                              = "Red Bull Dragon Fruit",
    ItemName_LDK.RedbullPitayaEmpty                         = "Empty Red Bull Dragon Fruit Can",
    ItemName_LDK.RedbullTropical                            = "Red Bull Tropical",
    ItemName_LDK.RedbullTropicalEmpty                       = "Empty Red Bull Tropical Can",
    ItemName_LDK.PackGuaranaA                              = "Guarana Antarctica Pack",
    ItemName_LDK.PackCocaCola                              = "Coke Pack",
    ItemName_LDK.PackCocaColaZero                          = "Coke Diet Pack",
    ItemName_LDK.PackFantaGuarana                          = "Fanta Guarana Pack",
    ItemName_LDK.PackFantaLaranja                          = "Fanta Orange Pack",
    ItemName_LDK.PackFantaUva                              = "Fanta Grape Pack",
    ItemName_LDK.PackPepsi                                 = "Pepsi Pack",
    ItemName_LDK.PackPepsiBlack                            = "Pepsi Black Pack",
    ItemName_LDK.PackPepsiTwist                            = "Pepsi Twist Pack",
    ItemName_LDK.PackSukitaL                               = "Sukita Orange Pack",
    ItemName_LDK.PackSukitaU                               = "Sukita Grape Pack",
    ItemName_LDK.PackSprite                                = "Sprite Pack",
    ItemName_LDK.PackAntarctica                            = "Antarctica Pack",
    ItemName_LDK.PackAntarcticaSubZero                     = "Sub Zero Antarctica Pack",
    ItemName_LDK.PackBohemia                               = "Bohemia Pack",
    ItemName_LDK.PackBrahma                                = "Brahma Pack",
    ItemName_LDK.PackCrystal                               = "Crystal Pack",
    ItemName_LDK.PackItaipava                              = "Itaipava Pack",
    ItemName_LDK.PackKaiser                                = "Kaiser Pack",
    ItemName_LDK.PackLokal                                 = "Lokal Pack",
    ItemName_LDK.PackSkol                                  = "Skol Pack",
    ItemName_LDK.Guaravita                                  = "Guaravita",
    ItemName_LDK.GuaravitaEmpty                             = "Empty Guaravita",
    ItemName_LDK.Toddynho                                   = "Toddynho",
    ItemName_LDK.51Molotov                                  = "Molotov Cocktail",
    ItemName_LDK.Itubaina                                   = "Itubaina",
    ItemName_LDK.ItubainaEmpty                              = "Empty Itubaina Can",
    ItemName_LDK.ItubainaZero                               = "Itubaina Diet",
    ItemName_LDK.ItubainaZeroEmpty                          = "Empty Itubaina Diet Can",
    ItemName_LDK.Bare                                       = "Bare",
    ItemName_LDK.BareEmpty                                  = "Empty Bare Can",
    ItemName_LDK.GuaranaJesus                               = "Guarana Jesus",
    ItemName_LDK.GuaranaJesusEmpty                          = "Empty Guarana Jesus Can",
    ItemName_LDK.GuaranaMineiro                             = "Guarana Mineiro",
    ItemName_LDK.GuaranaMineiroEmpty                        = "Empty Guarana Mineiro Can",
    ItemName_LDK.Sukita                                     = "Sukita Orange",
    ItemName_LDK.SukitaEmpty                                = "Empty Sukita Orange Can",
    ItemName_LDK.SukitaUva                                  = "Sukita Grape",
    ItemName_LDK.SukitaUvaEmpty                             = "Empty Sukita Grape Can",
    ItemName_LDK.CoroaCola                                  = "Coroa Cola",
    ItemName_LDK.CoroaColaEmpty                             = "Empty Coroa Cola Can",
    ItemName_LDK.CoroaLaranja                               = "Coroa Orange",
    ItemName_LDK.CoroaLaranjaEmpty                          = "Empty Coroa Orange Can",
    ItemName_LDK.CoroaLimao                                 = "Coroa Lemon",
    ItemName_LDK.CoroaLimaoEmpty                            = "Empty Coroa Lemon Can",
    ItemName_LDK.CoroaUva                                   = "Coroa Grape",
    ItemName_LDK.CoroaUvaEmpty                              = "Empty Coroa Grape Can",
    ItemName_LDK.EiTubaina                                  = "EiTubaina",
    ItemName_LDK.EiTubainaEmpty                             = "Empty EiTubaina Can",
    ItemName_LDK.FysCola                                    = "FYs Cola",
    ItemName_LDK.FysColaEmpty                               = "Empty FYs Cola Can",
    ItemName_LDK.FysColaZero                                = "FYs Cola Diet",
    ItemName_LDK.FysColaZeroEmpty                           = "Empty FYs Cola Diet Can",
    ItemName_LDK.FysGuarana                                 = "FYs Guarana",
    ItemName_LDK.FysGuaranaEmpty                            = "Empty FYs Guarana Can",
    ItemName_LDK.FysGuaranaZero                             = "FYs Guarana Diet",
    ItemName_LDK.FysGuaranaZeroEmpty                        = "Empty FYs Guarana Diet Can",
    ItemName_LDK.FysLaranja                                 = "FYs Orange",
    ItemName_LDK.FysLaranjaEmpty                            = "Empty FYs Orange Can",
    ItemName_LDK.FysLimao                                   = "FYs Lemon",
    ItemName_LDK.FysLimaoEmpty                              = "Empty FYs Lemon Can",
    ItemName_LDK.FysLimaoSiciliano                          = "FYs Sicilian Lemon",
