Recipes_EN                                     = {
Recipe_Open_Box_of_.357                        = "Open box of .357",
Recipe_Place_.357_in_box                       = "Place .357 in box",

Recipe_Open_Box_of_7.62_NATO                   = "Open box of 7.62x54 NATO",
Recipe_Place_7.62_NATO_in_box                  = "Place 7.62x54 NATO in box", 

Recipe_Open_Box_of_5.45                        = "Open box of 5.45x39",
Recipe_Place_5.45_in_box                       = "Place 5.45x39 in box", 

Recipe_Open_Box_of_7.62x39                     = "Open box of 7.62x39",
Recipe_Place_7.62x39_in_box                    = "Place 7.62x39 in box", 

Recipe_Open_Box_of_22_lr.                      = "Open box of 22 Lr.",
Recipe_Place_22_lr._in_box                     = "Place 22 Lr. in box",

Recipe_Open_Box_of_7.62x54R                    = "Open box of 7.62x54R",
Recipe_Place_7.62x54R_in_box                   = "Place 7.62x54R in box", 

Recipe_Open_Box_of_50_BMG                      = "Open box of 50 BMG",
Recipe_Place_50_BMG_in_box                     = "Place 50 BMG in box",

Recipe_Open_Tool_Kit                           = "Open tool kit",
Recipe_Close_Tool_Kit                          ="Close tool kit",

Recipe_Fold AK_stock                           ="Fold AK stock",
Recipe_Unfold_AK_stock                         ="Unfold AK stock",

Recipe_Saw_off_the_M1897_stock                 ="Saw off the M1897 stock",
Recipe_Saw_off_the_M870_stock                  ="Saw off the M870 stock",
Recipe_Saw_off_the_SKS_stock                   ="Saw off the SKS stock",

Recipe_Repair_SR-25_with_spare_parts           ="Repair SR-25 with spare parts",
Recipe_Repair_SW_M36_with_spare_parts          ="Repair SW M36 with spare parts",
Recipe_Repair_SW_M625_with_spare_parts         ="Repair SW M625 with spare parts",
Recipe_Repair_M16_with_spare_parts             ="Repair M16 with spare parts",
Recipe_Repair_WA2000_with_spare_parts          ="Repair WA2000 with spare parts",
Recipe_Repair_Vepr_Special_with_spare_parts    ="Repair Vepr Special with spare parts",
Recipe_Repair_SVD_with_spare_parts             ="Repair SVD with spare parts",
Recipe_Repair_TEC-9_with_spare_parts           ="Repair TEC-9 with spare parts",
Recipe_Repair_Type_81_with_spare_parts         ="Repair Type 81 with spare parts",
Recipe_Repair_AUG_with_spare_parts             ="Repair AUG with spare parts",
Recipe_Repair_Colt_1911_with_spare_parts       ="Repair Colt 1911 with spare parts",
Recipe_Repair_AA-12_with_spare_parts           ="Repair AA-12 with spare parts",
