RecipesEN {
    Recipe_97bushmasterMakeHood = "Make 97 Bushmaster Hood",
    Recipe_97bushmasterMakeDoor = "Make 97 Bushmaster Door",
    Recipe_97bushmasterMakeHatch = "Make 97 Bushmaster Hatch",
    Recipe_97bushmasterMakeSmallStorageLid = "Make 97 Bushmaster Small Storage Lid",
    Recipe_97bushmasterMakeLargeStorageLid = "Make 97 Bushmaster Large Storage Lid",
    Recipe_97bushmasterMakeFrontWindshield = "Make 97 Bushmaster Front Windshield",
    Recipe_97bushmasterMakeFrontSideWindow = "Make 97 Bushmaster Front Side Window",
    Recipe_97bushmasterMakeSideWindow = "Make 97 Bushmaster Side Window",
    Recipe_97bushmasterMakeRearWindshield = "Make 97 Bushmaster Rear Windshield",
    Recipe_97bushmasterMakeRoofCrates = "Make 97 Bushmaster Roof Crates",
    Recipe_97bushmasterMakeFrontBullbar = "Make 97 Bushmaster Front Bullbar",
    Recipe_97bushmasterMakeMudflaps = "Make 97 Bushmaster Mudflaps",
    Recipe_97bushmasterMakeGastank = "Make 97 Bushmaster Gastank",
    Recipe_97bushmasterMakeLeftFender = "Make 97 Bushmaster Left Fender",
    Recipe_97bushmasterMakeRightFender = "Make 97 Bushmaster Right Fender",
    Recipe_97bushmasterMakeLeftStorage = "Make 97 Bushmaster Left Storage",
    Recipe_97bushmasterMakeRightStorage = "Make 97 Bushmaster Right Storage",
    Recipe_97bushmasterMakeSeat = "Make 97 Bushmaster Seat",
    Recipe_97bushmasterMakeGunnerSeat = "Make 97 Bushmaster Gunner Seat",
}
