RecipesEN {
    Recipe_CUDAMakeTire = "Make 70 Plymouth Barracuda Tire",
    Recipe_CUDAStockMakeHood = "Make 70 Plymouth Barracuda Hood",
    Recipe_CUDAMakeHood = "Make 70 Plymouth Cuda Hood",
    Recipe_CUDAAARMakeHood = "Make 70 Plymouth Barracuda AAR Hood",
    Recipe_CUDAMakeFrontDoor = "Make 70 Plymouth Barracuda Front Door",
    Recipe_CUDAMakeTrunkLid = "Make 70 Plymouth Barracuda Trunk Lid",
    Recipe_CUDAMakeFrontSeat = "Make 70 Plymouth Barracuda Front Seat",
    Recipe_CUDAMakeRearSeat = "Make 70 Plymouth Barracuda Rear Seat",
    Recipe_CUDAMakeFrontWindshield = "Make 70 Plymouth Barracuda Front Windshield",
    Recipe_CUDAMakeFrontSideWindow = "Make 70 Plymouth Barracuda Front Side Window",
    Recipe_CUDAMakeRearSideWindow = "Make 70 Plymouth Barracuda Rear Side Window",
    Recipe_CUDAMakeRearWindshield = "Make 70 Plymouth Barracuda Rear Windshield",
    Recipe_CUDAMakeFrontWindowArmor = "Make 70 Plymouth Barracuda Front Window Armor",
    Recipe_CUDAMakeFrontWindshieldArmor = "Make 70 Plymouth Barracuda Front Windshield Armor",
    Recipe_CUDAMakeRearWindshieldArmor = "Make 70 Plymouth Barracuda Rear Windshield Armor",
    Recipe_CUDAMakeFrontBumper0 = "Make 70 Plymouth Barracuda Stock Front Bumper",
    Recipe_CUDAMakeFrontBumper1 = "Make 70 Plymouth Barracuda Type 1 Front Bumper",
    Recipe_CUDAMakeFrontBumper2 = "Make 70 Plymouth BarracudaType 2 Front Bumper",
    Recipe_CUDAMakeRearBumper = "Make 70 Plymouth Barracuda Rear Bumper",
    Recipe_CUDAMakeFrontBullbar = "Make 70 Plymouth Barracuda Front Bullbar",
    Recipe_CUDAMakeRearBullbar = "Make 70 Plymouth Barracuda Rear Bullbar",
    Recipe_CUDAMakeRoofrack = "Make Small Vintage Roofrack",
}
