IGUI_CN = {
    
	IGUI_CraftCategory_Tailoring = "裁剪",
	IGUI_HotbarAttachment_Sling = "步枪背带",
	IGUI_HotbarAttachment_SlingAlt = "步枪背带2",
	IGUI_HotbarAttachment_SlingAlt2 = "步枪背带3",
	IGUI_HotbarAttachment_SlingAlt3 = "步枪背带4",
	IGUI_HotbarAttachment_Back2 = "战术背心挂位",
	IGUI_HotbarAttachment_Back3 = "战术背心挂位",
	IGUI_HotbarAttachment_KatanaSheath = "刀鞘(武士刀)",
	IGUI_HotbarAttachment_KnifeSheathBack = "刀鞘(黑色)",
	IGUI_HotbarAttachment_KnifeSheath = "刀鞘",
	IGUI_HotbarAttachment_ChestRigRight = "织带挂位",
	IGUI_HotbarAttachment_ChestRig = "索具挂位",
}
